Feature,Importance
resnet_150,0.0011984783
yolo_9,0.0011966962
yolo_151,0.0011956256
yolo_211,0.0011956007
resnet_417,0.0011927778
yolo_99,0.0011911643
resnet_425,0.0011896681
resnet_254,0.0011887114
yolo_183,0.0011815735
yolo_246,0.0011770106
resnet_196,0.0011721873
resnet_299,0.00117001
resnet_467,0.0011643762
yolo_175,0.001162632
resnet_414,0.0011619151
resnet_353,0.0011581857
resnet_45,0.0011559539
resnet_427,0.0011557053
yolo_123,0.001154076
resnet_68,0.0011526268
max_gray,0.0011499409
resnet_383,0.0011474414
resnet_303,0.001146913
yolo_145,0.0011455512
resnet_161,0.001144632
yolo_49,0.0011399457
resnet_376,0.0011397292
resnet_18,0.0011395279
resnet_304,0.0011389127
yolo_193,0.0011381537
resnet_464,0.0011364443
yolo_191,0.0011364003
resnet_240,0.0011330456
resnet_266,0.0011322178
resnet_446,0.0011268021
yolo_93,0.0011243158
resnet_180,0.0011238847
resnet_333,0.0011233888
resnet_8,0.001123178
resnet_385,0.0011198788
resnet_89,0.001119433
b_mean,0.0011193334
resnet_286,0.0011185148
resnet_56,0.0011131907
resnet_282,0.001109309
resnet_73,0.0011085946
resnet_222,0.0011074321
resnet_65,0.0011053663
resnet_283,0.0010995663
resnet_138,0.0010956059
resnet_430,0.0010949046
yolo_216,0.0010913876
resnet_192,0.0010903709
resnet_146,0.001088672
yolo_251,0.0010878141
yolo_192,0.0010866271
resnet_338,0.001084642
yolo_90,0.0010842129
resnet_347,0.0010838453
yolo_130,0.0010832369
resnet_99,0.0010829925
resnet_325,0.0010811699
resnet_188,0.0010808436
resnet_169,0.001080727
resnet_471,0.0010800224
resnet_438,0.0010769048
resnet_294,0.0010756876
resnet_379,0.0010738528
resnet_327,0.0010659843
resnet_455,0.001064443
a_mean,0.0010630201
resnet_381,0.0010615294
resnet_439,0.0010606301
resnet_306,0.0010583708
resnet_317,0.0010533332
resnet_102,0.0010431932
resnet_296,0.0010389711
resnet_167,0.0010348173
resnet_490,0.0010344252
yolo_150,0.0010338185
yolo_31,0.0010323363
resnet_77,0.0010306733
resnet_502,0.0010261389
yolo_71,0.0010218853
resnet_473,0.0010201428
yolo_80,0.0010164713
yolo_16,0.0010161443
yolo_200,0.0010138607
yolo_89,0.0010057635
yolo_184,0.0010009981
resnet_140,0.0010005266
resnet_454,0.0009934132
resnet_284,0.0009919859
resnet_410,0.0009876745
resnet_0,0.000987163
resnet_24,0.0009812382
resnet_389,0.0009796709
resnet_480,0.0009794062
resnet_152,0.0009774268
resnet_324,0.0009727659
resnet_356,0.00097076985
resnet_224,0.0009699338
resnet_42,0.0009684477
yolo_118,0.0009674285
resnet_228,0.0009670415
